nombre_diagnostico|nombre_diagnostico_psiquiatrico
Quistes ováricos no especificados|Trastornos delirantes
Fisura anal, no especificada|Trastornos delirantes
Celulitis de parte no especificada de las extremidades|Esquizofrenia
Incumplimiento del paciente con el régimen dietético|Esquizofrenia
Abuso de opiáceos, sin complicaciones|Esquizofrenia
Celulitis de extremidad inferior derecha|Esquizofrenia
Colitis ulcerosa, no especificada, sin complicaciones|Otros tipos de esquizofrenia
Congestión pasiva crónica de hígado|Otros tipos de esquizofrenia
Neoplasia maligna de ciego|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de intestino grueso y recto|Otros tipos de esquizofrenia
Dolor (agudo) (crónico) relacionado con neoplasia|Otros tipos de esquizofrenia
Trastorno del metabolismo del hierro, no especificado|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de otras localizaciones de labio, cavidad oral y faringe|Otros tipos de esquizofrenia
Neoplasia maligna de hipofaringe, no especificada|Esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos de cabeza, cara y cuello|Esquizofrenia
Otros tipos de hiperfunción de hipófisis|Trastornos delirantes
Desgarro de tendón de Aquiles izquierdo, contacto inicial|Esquizofrenia
Contacto con otras maquinarias especificadas, contacto inicial|Esquizofrenia
Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto, contacto inicial|Esquizofrenia
Anemia en enfermedad neoplásica|Trastornos delirantes
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide|Trastornos delirantes
Presencia de marcapasos cardíaco|Trastornos delirantes
Presencia de desfibrilador cardíaco automático (implantable)|Trastornos delirantes
Fractura bimaleolar desplazada de pierna no especificada, contacto inicial por fractura cerrada|Trastornos delirantes
Herida abierta no especificada de cuero cabelludo, contacto inicial|Trastornos delirantes
Fractura no especificada de diáfisis de cúbito no especificado, contacto inicial por fractura abierta tipo I, II o NEOM|Trastornos delirantes
Fracturas múltiples de costillas, lado no especificado, contacto inicial por fractura cerrada|Trastornos delirantes
Hemoneumotórax traumático, contacto inicial|Trastornos delirantes
Hemorragia subdural traumática sin pérdida de conciencia, contacto inicial|Trastorno esquizotípico
Hemorragia subaracnoidea traumática sin pérdida de conciencia, contacto inicial|Trastorno esquizotípico
Exposición a otros factores especificados, contacto inicial|Trastorno esquizotípico
Trastorno esquizoide de personalidad|Trastorno esquizotípico
Trastorno de personalidad paranoide|Trastorno esquizotípico
Inquietud y agitación|Trastorno esquizotípico
Dependencia de alcohol con delirio por abstinencia|Trastorno esquizotípico
Dependencia de nicotina no especificada, sin complicaciones|Trastorno esquizotípico
Fractura no especificada de vértebra lumbar no especificada, contacto inicial por fractura cerrada|Trastornos delirantes
Diverticulosis de colon sin perforación ni absceso, con hemorragia|Trastornos delirantes
Fractura no especificada de extremo inferior de radio izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Venas varicosas asintomáticas de extremidad inferior no especificada|Esquizofrenia
Fractura no especificada de extremo inferior de radio izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias|Esquizofrenia
Exposición a otros factores especificados, contacto sucesivo|Esquizofrenia
Otra embolia pulmonar sin cor pulmonale agudo|Esquizofrenia
Embolia y trombosis agudas de venas profundas no especificadas de extremidad inferior derecha|Esquizofrenia
Hipoglucemia, no especificada|Otros tipos de esquizofrenia
Ceguera, ambos ojos|Otros tipos de esquizofrenia
Prisión y otros tipos de encarcelamiento|Trastornos esquizoafectivos
Problemas relacionados con otras circunstancias legales|Trastornos esquizoafectivos
Gastroenteritis y colitis infecciosas, no especificadas|Trastornos delirantes
Insuficiencia renal no especificada|Trastornos delirantes
Neutropenia, no especificada|Trastornos delirantes
Infradosificación de benzodiacepinas, contacto inicial|Esquizofrenia
Historia personal de otros trastornos mentales y del comportamiento|Esquizofrenia
Infradosificación de fármacos, medicamentos y sustancias biológicas no especificados, contacto inicial|Trastornos esquizoafectivos
Otro incumplimiento del paciente de la prescripción médica|Trastornos esquizoafectivos
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Esquizofrenia
Hipoparatiroidismo, no especificado|Esquizofrenia
Demencia vascular, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Trastornos esquizoafectivos
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Trastornos esquizoafectivos
Trastorno de Tourette|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Alcoholismo y drogadicción en la familia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Consumo de tabaco|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Catarata no especificada infantil y juvenil, ojo no especificado |Otros tipos de esquizofrenia
Historia personal de otro tipo de trombosis y embolia venosas|Esquizofrenia
Hiperlipidemia, no especificada|Trastorno psicótico breve
Discinesia subaguda inducida por fármacos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Efecto adverso de antipsicóticos y neurolépticos no especificados, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras neoplasias benignas de piel de parte no especificada de la cara|Otros tipos de esquizofrenia
Otras neoplasias benignas de piel de extremidad superior no especificada, incluyendo hombro|Otros tipos de esquizofrenia
Neoplasia benigna de meninges cerebrales|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura intracapsular no especificada de fémur izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Fiebre posprocedimiento|Esquizofrenia
Presencia de otros implantes e injertos vasculares|Esquizofrenia
Neoplasia maligna de cuadrante inferior interno de mama femenina izquierda|Esquizofrenia
Artrosis primaria unilateral, cadera no especificada|Esquizofrenia
Hernia incisional con obstrucción, sin gangrena|Esquizofrenia
Ausencia adquirida de ovarios, bilateral|Esquizofrenia
Ausencia adquirida de mama y pezón derechos|Esquizofrenia
Púrpura trombocitopénica inmune [PTI]|Esquizofrenia
Trombocitopenia no especificada|Esquizofrenia
Dermatitis debida a alimentos ingeridos|Otros tipos de esquizofrenia
Síndrome de Dressler|Otros tipos de esquizofrenia
Puntuación NIHSS 7|Esquizofrenia
Debilidad facial|Esquizofrenia
Dificultad para hablar|Esquizofrenia
Fibrilación paroxística auricular|Esquizofrenia
Estado de angioplastia coronaria|Esquizofrenia
Presencia de articulación de rodilla izquierda artificial|Esquizofrenia
Otros trastornos de disco intervertebral, región lumbar|Trastornos delirantes
Embolia y trombosis de arterias de los miembros inferiores|Esquizofrenia
Aterosclerosis de arterias nativas de pierna izquierda con ulceración de localización no especificada|Esquizofrenia
Úlcera crónica no debida a presión de otra parte de pie izquierdo, de gravedad no especificada|Esquizofrenia
Trombosis debida a prótesis, implantes e injertos vasculares, contacto inicial|Esquizofrenia
Cirugía con anastomosis, derivación o injerto como causa de reacción anormal del paciente, o de complicación posterior, sin mención de evento adverso en el momento del procedimiento|Esquizofrenia
Ausencia adquirida de pie izquierdo|Esquizofrenia
Historia personal de otro tipo de neoplasia benigna|Trastornos delirantes
Alcoholismo y drogadicción en la familia|Trastornos esquizoafectivos
Historia familiar de abuso y dependencia al alcohol|Trastornos esquizoafectivos
Historia familiar de muerte cardiaca súbita|Trastornos esquizoafectivos
Cálculo de conducto biliar con colangitis aguda, con obstrucción|Esquizofrenia
Procedimiento quirúrgico laparoscópico convertido en procedimiento abierto|Esquizofrenia
Equinococosis del hígado, no especificada|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda sin obstrucción|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de alergia a otros antibióticos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de alergia a otros fármacos, medicamentos y sustancias biológicas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de articulación de rodilla artificial, bilateral|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de fractura (consolidada) traumática|Esquizofrenia
Otras enfermedades reumáticas valvulares múltiples|Otros tipos de esquizofrenia
Edema agudo de pulmón|Otros tipos de esquizofrenia
Dependencia de otras máquinas y dispositivos de apoyo|Trastornos delirantes
Trastornos del diafragma|Otros tipos de esquizofrenia
Streptococcus pneumoniae como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Neoplasia maligna de localizaciones contiguas de vejiga|Otros tipos de esquizofrenia
Dependencia de cocaína, sin complicaciones|Otros tipos de esquizofrenia
Neoplasia maligna de cuadrante inferior interno de mama femenina, lado no especificado|Otros tipos de esquizofrenia
Contacto para mamografía de cribado de neoplasia maligna de mama|Otros tipos de esquizofrenia
Hiperesplenismo|Otros tipos de esquizofrenia
Peritonitis bacteriana espontánea|Otros tipos de esquizofrenia
Insuficiencia hepática aguda y subaguda sin coma|Otros tipos de esquizofrenia
Hernia incisional sin obstrucción ni gangrena|Esquizofrenia
Historia personal de otra neoplasia maligna de intestino grueso|Esquizofrenia
Ausencia adquirida de mama y pezón no especificados|Esquizofrenia
Hernia incisional sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Índice de masa corporal [IMC] 40.0-44.9, adulto|Otros tipos de esquizofrenia
Anemia por carencia de vitamina B12, no especificada|Esquizofrenia
Neoplasia maligna (primaria), no especificada|Otros tipos de esquizofrenia
Otros trastornos del metabolismo de las proteínas plasmáticas no clasificados bajo otro concepto|Otros tipos de esquizofrenia
Neoplasia maligna secundaria y no especificada de ganglios linfáticos intratorácicos|Trastorno psicótico breve
Neoplasia maligna de lóbulo superior, bronquio y pulmón no especificados|Trastorno psicótico breve
Historia personal de dependencia a nicotina|Trastorno psicótico breve
Celulitis de cabeza [cualquier parte, excepto de cara]|Otros tipos de esquizofrenia
Sepsis debida a anaerobios|Esquizofrenia
Defecto de coagulación, no especificado|Esquizofrenia
Cálculo del riñón|Esquizofrenia
Encefalopatía metabólica|Esquizofrenia
Otra complicación mecánica de sonda uretral permanente, contacto inicial|Esquizofrenia
Diabetes insípida|Esquizofrenia
Historia personal de neoplasia de comportamiento incierto|Esquizofrenia
Presencia de dispositivo para drenaje de líquido cefalorraquídeo|Esquizofrenia
Historia personal de embolia pulmonar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de disfagia|Otros tipos de esquizofrenia
Contacto para quimioterapia antineoplásica|Esquizofrenia
Leucemia linfocítica crónica de células B, sin haber alcanzado remisión|Esquizofrenia
Carencia de otras vitaminas del grupo B especificadas|Otros tipos de esquizofrenia
Espina bífida no especificada con hidrocefalia|Otros tipos de esquizofrenia
Trastorno esquizofreniforme|Esquizofrenia
Historia personal de neoplasia benigna de cerebro|Esquizofrenia
Índice de masa corporal [IMC] 40.0-44.9, adulto|Esquizofrenia
Fractura de parte no especificado del cuello de fémur no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Historia personal de otras enfermedades del aparato circulatorio|Trastorno psicótico breve
Fallo renal agudo con necrosis tubular|Otros tipos de esquizofrenia
Retinopatía de fondo no especificada|Otros tipos de esquizofrenia
Infarto agudo de miocardio con elevación de ST (IAMCEST) (IMEST) (STEMI) con implicación de otra arteria coronaria de cara inferior|Trastornos delirantes
